Item_Fatura,Empresa,Centro,Data_Criacao,Fornecedor,Nome_Fornecedor,Doc_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preço_Contrato,Preço_Fatura,Montante,Item_Contrato,Data_Emissao,Valor_NF_c/_Imposto,Valor_NF_s/_Imposto,ICMS,PIS,COFINS,ICMS_Diferido,IPI
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508605054,70,620224709R,PEÇA,000047019-3,"1,000","201,93","205,00","3,07",2020,1/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508605928,80,620224709R,PEÇA,000047026-3,"2,000","201,93","205,00","6,14",2020,2/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
9,483,FAS,3/4/2025,108060,FORNECEDOR,4508608222,100,620224709R,PEÇA,000047033-3,"2,000","201,93","205,00","6,14",2020,2/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,3/4/2025,108060,FORNECEDOR,4508607532,90,620224709R,PEÇA,000047039-3,"2,000","201,93","205,00","6,14",2020,2/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
7,483,FAS,3/4/2025,108060,FORNECEDOR,4508609109,80,620224709R,PEÇA,000047044-3,"1,000","201,93","205,00","3,07",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508609027,110,620224709R,PEÇA,000047046-3,"1,000","201,93","205,00","3,07",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,4/4/2025,108060,FORNECEDOR,4508608910,70,620224709R,PEÇA,000047047-3,"1,000","201,93","205,00","3,07",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508609396,110,620224709R,PEÇA,000047053-3,"2,000","201,93","205,00","6,14",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508609577,80,620224709R,PEÇA,000047055-3,"3,000","201,93","205,00","9,21",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,4/4/2025,108060,FORNECEDOR,4508609819,80,620224709R,PEÇA,000047057-3,"1,000","201,93","205,00","3,07",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,4/4/2025,108060,FORNECEDOR,4508611849,50,620224709R,PEÇA,000047061-3,"1,000","201,93","205,00","3,07",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508610066,100,620224709R,PEÇA,000047062-3,"1,000","201,93","205,00","3,07",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
9,483,FAS,4/4/2025,108060,FORNECEDOR,4508610403,100,620224709R,PEÇA,000047064-3,"2,000","201,93","205,00","6,14",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508610741,80,620224709R,PEÇA,000047066-3,"2,000","201,93","205,00","6,14",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
7,483,FAS,4/4/2025,108060,FORNECEDOR,4508611056,100,620224709R,PEÇA,000047070-3,"1,000","201,93","205,00","3,07",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
1,483,FAS,23/4/2025,133453,FORNECEDOR,4508583314,10,638439537R,PEÇA,44278-1,"22,000","46,46","73,83","602,14",20,18/3/2025,"R$ 78,80","R$ 71,51",0.0,"1,65","7,6",SIM,"3,25"
8,483,FAS,3/4/2025,108060,FORNECEDOR,4508604769,90,620225005R,PEÇA,000047015-3,"1,000","200,11","203,17","3,06",2030,1/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
8,483,FAS,3/4/2025,108060,FORNECEDOR,4508605928,90,620225005R,PEÇA,000047026-3,"2,000","200,11","203,16","6,10",2030,2/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
10,483,FAS,3/4/2025,108060,FORNECEDOR,4508608222,110,620225005R,PEÇA,000047033-3,"1,000","200,11","203,17","3,06",2030,2/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
9,483,FAS,3/4/2025,108060,FORNECEDOR,4508607532,100,620225005R,PEÇA,000047039-3,"3,000","200,11","203,16","9,15",2030,2/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
8,483,FAS,3/4/2025,108060,FORNECEDOR,4508609109,90,620225005R,PEÇA,000047044-3,"1,000","200,11","203,17","3,06",2030,3/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508609577,90,620225005R,PEÇA,000047055-3,"1,000","200,11","203,17","3,06",2030,3/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508609819,90,620225005R,PEÇA,000047057-3,"1,000","200,11","203,17","3,06",2030,3/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
9,483,FAS,4/4/2025,108060,FORNECEDOR,4508610066,110,620225005R,PEÇA,000047062-3,"1,000","200,11","203,17","3,06",2030,4/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508611056,110,620225005R,PEÇA,000047070-3,"2,000","200,11","203,16","6,10",2030,4/4/2025,"R$ 223,87","R$ 203,16",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508598899,100,620226216R,PEÇA,000046964-3,"2,000","201,45","204,52","6,14",2110,28/3/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508599229,110,620226216R,PEÇA,000046966-3,"4,000","201,45","204,52","12,28",2110,28/3/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508599624,100,620226216R,PEÇA,000046970-3,"1,000","201,45","204,52","3,07",2110,28/3/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508599667,80,620226216R,PEÇA,000046972-3,"3,000","201,45","204,52","9,21",2110,28/3/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508599847,60,620226216R,PEÇA,000046981-3,"1,000","201,45","204,52","3,07",2110,28/3/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
9,483,FAS,1/4/2025,108060,FORNECEDOR,4508604331,110,620226216R,PEÇA,000047005-3,"3,000","201,45","204,52","9,21",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508604440,80,620226216R,PEÇA,000047006-3,"1,000","201,45","204,52","3,07",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508604504,90,620226216R,PEÇA,000047008-3,"3,000","201,45","204,52","9,21",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508604623,70,620226216R,PEÇA,000047010-3,"2,000","201,45","204,52","6,14",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508604670,70,620226216R,PEÇA,000047011-3,"2,000","201,45","204,52","6,14",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508604743,80,620226216R,PEÇA,000047013-3,"2,000","201,45","204,52","6,14",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508604757,50,620226216R,PEÇA,000047014-3,"1,000","201,45","204,52","3,07",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508604769,100,620226216R,PEÇA,000047015-3,"2,000","201,45","204,52","6,14",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,1/4/2025,108060,FORNECEDOR,4508605054,80,620226216R,PEÇA,000047019-3,"3,000","201,45","204,52","9,21",2110,1/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508604231,100,620226216R,PEÇA,000047021-3,"4,000","201,45","204,52","12,28",2110,2/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508606087,70,620226216R,PEÇA,000047022-3,"3,000","201,45","204,52","9,21",2110,2/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508605928,100,620226216R,PEÇA,000047026-3,"2,000","201,45","204,52","6,14",2110,2/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508608222,120,620226216R,PEÇA,000047033-3,"1,000","201,45","204,52","3,07",2110,2/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508607776,80,620226216R,PEÇA,000047037-3,"2,000","201,45","204,52","6,14",2110,2/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508607532,110,620226216R,PEÇA,000047039-3,"2,000","201,45","204,52","6,14",2110,2/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
9,483,FAS,4/4/2025,108060,FORNECEDOR,4508609027,120,620226216R,PEÇA,000047046-3,"2,000","201,45","204,52","6,14",2110,3/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508608910,80,620226216R,PEÇA,000047047-3,"2,000","201,45","204,52","6,14",2110,3/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508608751,80,620226216R,PEÇA,000047048-3,"2,000","201,45","204,52","6,14",2110,3/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
9,483,FAS,4/4/2025,108060,FORNECEDOR,4508609396,120,620226216R,PEÇA,000047053-3,"3,000","201,45","204,52","9,21",2110,3/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508609819,100,620226216R,PEÇA,000047057-3,"1,000","201,45","204,52","3,07",2110,3/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508610741,90,620226216R,PEÇA,000047066-3,"4,000","201,45","204,52","12,28",2110,4/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
9,483,FAS,4/4/2025,108060,FORNECEDOR,4508611056,120,620226216R,PEÇA,000047070-3,"2,000","201,45","204,52","6,14",2110,4/4/2025,"R$ 225,37","R$ 204,52",0.0,"1,65","7,6",nan,nan
1,483,SJP,30/4/2025,137008,FORNECEDOR,4508620772,10,671A06064R,PEÇA,53508-1,"1.500,000","2,78","3,63","1.275,00",20,3/4/2025,"R$ 4,61","R$ 3,68",12.0,"1,65","7,6",SIM,nan
1,483,SJP,8/5/2025,137008,FORNECEDOR,4508665530,10,671A06064R,PEÇA,54040-1,"1.500,000","2,78","3,63","1.275,00",20,29/4/2025,"R$ 4,61","R$ 3,68",12.0,"1,65","7,6",SIM,nan
1,483,SJP,10/4/2025,132610,FORNECEDOR,4508620503,10,668356799R,PEÇA,000083575-1,"2.600,000","0,68","0,89","546,00",110,8/4/2025,"R$ 0,98","R$ 0,88",nan,"1,65","7,6",nan,"9,75"
1,483,SJP,22/5/2025,132610,FORNECEDOR,4508698761,10,668356799R,PEÇA,000084593-1,"2.600,000","0,68","0,89","546,00",110,20/5/2025,"R$ 0,98","R$ 0,88",nan,"1,65","7,6",nan,nan
1,483,SJP,24/5/2025,132610,FORNECEDOR,4508698762,10,668356799R,PEÇA,000084594-1,"2.600,000","0,68","0,89","546,00",110,20/5/2025,"R$ 0,98","R$ 0,88",nan,"1,65","7,6",nan,nan
5,483,SJP,8/4/2025,132610,FORNECEDOR,4508564437,50,682380471R,PEÇA,82709-1,"1.800,000","4,66","5,46","1.440,00",180,5/3/2025,"R$ 6,02","5,49",0.0,0,0,SIM,"9,75"
3,483,SJP,8/4/2025,132610,FORNECEDOR,4508596705,30,682380471R,PEÇA,83227-1,"1.800,000","4,66","5,46","1.440,00",180,25/3/2025,"R$ 6,02","5,49",0.0,0,0,SIM,"9,75"
2,483,FVU,17/4/2025,132610,FORNECEDOR,4508634742,20,682387457R,PEÇA,000083751-1,"4.500,000","0,55","0,56","45,00",130,15/4/2025,"R$ 0,70","0,55",12.0,"1,65","7,6",NÃO,0
2,483,FAS,23/4/2025,102294,FORNECEDOR,4508641230,20,671E51867R,PEÇA,000207697-1,"240,000","27,99","28,27","67,20",20,23/4/2025,"R$ 31,15","R$ 28,26",0.0,"1,65","7,6",SIM,nan
2,483,FAS,28/4/2025,102294,FORNECEDOR,4508633797,20,671E51867R,PEÇA,207539-1,"120,000","27,99","28,27","33,60",20,15/4/2025,"R$ 31,15","R$ 28,26",0.0,"1,65","7,6",SIM,nan
2,483,FAS,28/4/2025,102294,FORNECEDOR,4508634009,20,671E51867R,PEÇA,207559-1,"240,000","27,99","28,27","67,20",20,16/4/2025,"R$ 31,15","R$ 28,26",0.0,"1,65","7,6",SIM,nan
2,483,FAS,28/4/2025,102294,FORNECEDOR,4508637545,20,671E51867R,PEÇA,207647-1,"120,000","27,99","28,27","33,60",20,17/4/2025,"R$ 31,15","R$ 28,26",0.0,"1,65","7,6",SIM,nan
2,483,FAS,28/4/2025,102294,FORNECEDOR,4508640461,20,671E51867R,PEÇA,207679-1,"120,000","27,99","28,27","33,60",20,22/4/2025,"R$ 31,15","R$ 28,26",0.0,"1,65","7,6",SIM,nan
1,483,FAS,17/4/2025,102294,FORNECEDOR,4508633875,10,679000282R,PEÇA,000207549-1,"100,000","47,14","47,62","48,00",30,15/4/2025,"R$ 52,47","R$ 47,61",nan,"1,65","7,6",nan,nan
1,483,FAS,16/4/2025,102294,FORNECEDOR,4508634091,10,679000282R,PEÇA,000207573-1,"175,000","47,14","47,62","84,00",30,16/4/2025,"R$ 52,47","R$ 47,61",0.0,"1,65","7,6",SIM,nan
1,483,FAS,17/4/2025,102294,FORNECEDOR,4508635323,10,679000282R,PEÇA,000207602-1,"150,000","47,14","47,62","72,00",30,17/4/2025,"R$ 52,47","R$ 47,61",0.0,"1,65","7,6",SIM,nan
1,483,FAS,22/4/2025,102294,FORNECEDOR,4508638991,10,679000282R,PEÇA,000207656-1,"175,000","47,14","47,62","84,00",30,22/4/2025,"R$ 52,47","R$ 47,61",0.0,"1,65","7,6",SIM,nan
1,483,FAS,23/4/2025,102294,FORNECEDOR,4508640972,10,679000282R,PEÇA,000207689-1,"225,000","47,14","47,62","108,00",30,22/4/2025,"R$ 52,47","R$ 47,61",0.0,"1,65","7,6",SIM,nan
1,483,FAS,23/4/2025,102294,FORNECEDOR,4508642176,10,679000282R,PEÇA,000207713-1,"225,000","47,14","47,62","108,00",30,23/4/2025,"R$ 52,47","R$ 47,61",0.0,"1,65","7,6",SIM,nan
1,483,FAS,24/4/2025,102294,FORNECEDOR,4508648677,10,679000282R,PEÇA,000207740-1,"125,000","47,14","47,62","60,00",30,24/4/2025,"R$ 52,47","R$ 47,61",0.0,"1,65","7,6",SIM,nan
2,483,FAS,2/4/2025,102294,FORNECEDOR,4508604024,20,679002227R,PEÇA,000206951-1,"100,000","64,25","66,83","258,00",1330,28/3/2025,"R$ 73,64","R$ 66,82",nan,"1,65","7,6",nan,nan
2,483,FAS,1/4/2025,102294,FORNECEDOR,4508604760,20,679002227R,PEÇA,000207001-1,"75,000","64,25","66,83","193,50",1330,1/4/2025,"R$ 73,64","R$ 66,82",nan,"1,65","7,6",nan,nan
2,483,FAS,2/4/2025,102294,FORNECEDOR,4508608182,20,679002227R,PEÇA,000207080-1,"50,000","64,25","66,83","129,00",1330,2/4/2025,"R$ 73,64","R$ 66,82",nan,"1,65","7,6",nan,nan
1,483,FAS,3/4/2025,102294,FORNECEDOR,4508609382,10,679002227R,PEÇA,000207107-1,"25,000","64,25","66,83","64,50",1330,3/4/2025,"R$ 73,64","R$ 66,82",0.0,"1,65","7,6",SIM,nan
1,483,FAS,3/4/2025,102294,FORNECEDOR,4508609807,10,679002227R,PEÇA,000207121-1,"75,000","64,25","66,83","193,50",1330,3/4/2025,"R$ 73,64","R$ 66,82",0.0,"1,65","7,6",SIM,nan
2,483,FAS,4/4/2025,102294,FORNECEDOR,4508613205,20,679002227R,PEÇA,000207192-1,"75,000","64,25","66,83","193,50",1330,4/4/2025,"R$ 73,64","R$ 66,82",0.0,"1,65","7,6",SIM,nan
2,483,FAS,7/4/2025,102294,FORNECEDOR,4508616981,20,679002227R,PEÇA,000207237-1,"50,000","64,25","66,83","129,00",1330,7/4/2025,"R$ 73,64","R$ 66,82",0.0,"1,65","7,6",SIM,nan
3,483,FAS,23/4/2025,102294,FORNECEDOR,4508641230,30,679008655R,PEÇA,000207697-1,"300,000","21,91","22,13","66,00",40,23/4/2025,"R$ 24,39","R$ 22,13",nan,"1,65","7,6",nan,nan
3,483,FAS,28/4/2025,102294,FORNECEDOR,4508633797,30,679008655R,PEÇA,207539-1,"150,000","21,91","22,13","33,00",40,15/4/2025,"R$ 24,39","R$ 22,13",nan,"1,65","7,6",nan,nan
3,483,FAS,28/4/2025,102294,FORNECEDOR,4508634009,30,679008655R,PEÇA,207559-1,"150,000","21,91","22,13","33,00",40,16/4/2025,"R$ 24,39","R$ 22,13",0.0,"1,65","7,6",SIM,nan
3,483,FAS,28/4/2025,102294,FORNECEDOR,4508637545,30,679008655R,PEÇA,207647-1,"150,000","21,91","22,13","33,00",40,17/4/2025,"R$ 24,39","R$ 22,13",0.0,"1,65","7,6",SIM,nan
3,483,FAS,28/4/2025,102294,FORNECEDOR,4508640461,30,679008655R,PEÇA,207679-1,"225,000","21,91","22,13","49,50",40,22/4/2025,"R$ 24,39","R$ 22,13",0.0,"1,65","7,6",SIM,nan
3,483,FAS,9/5/2025,102294,FORNECEDOR,4508650412,30,679008655R,PEÇA,207778-1,"150,000","21,91","22,13","33,00",40,24/4/2025,"R$ 24,39","R$ 22,13",0.0,"1,65","7,6",SIM,nan
2,483,SJP,1/5/2025,132610,FORNECEDOR,4508637630,10,682380471R,PEÇA,000083844-1,"1.800,000","4,66","5,46","1.440,00",180,17/4/2025,"R$ 6,02","R$ 5,46",nan,"1,65","7,6",nan,"6,5"
5,483,SJP,24/5/2025,132610,FORNECEDOR,4508670588,50,682380471R,PEÇA,000084222-1,"1.800,000","4,66","5,46","1.440,00",180,6/5/2025,"R$ 6,02","R$ 5,46",nan,"1,65","7,6",nan,nan
1,483,FAS,11/4/2025,129702,FORNECEDOR,4508624569,10,727124285R,PEÇA,481748-2,"41,000","150,65","185,86","1.443,61",10,nan,"R$ 236,01","188,47",12.0,"1,65","7,6",NÃO,0
1,483,FAS,23/4/2025,133453,FORNECEDOR,4508580069,10,739101733R,PEÇA,44241-1,"18,000","292,83","474,54","3.270,78",210,nan,"R$ 506,45","R$ 459,60",0.0,"1,65","7,6",SIM,"3,25"
1,483,FAS,9/5/2025,101384,FORNECEDOR,4508668341,10,739102624R,PEÇA,000400598-1,"45,000","99,13","104,37","235,80",740,6/5/2025,"R$ 132,53","105,83",12.0,"1,65","7,6",nan,nan
1,483,FAS,17/5/2025,101384,FORNECEDOR,4508685743,10,739102624R,PEÇA,000401279-1,"90,000","99,13","104,37","471,60",740,14/5/2025,"R$ 132,53","R$ 105,83",12.0,"1,65","7,6",SIM,nan
1,483,FVU,8/4/2025,117680,FORNECEDOR,4508585565,10,732503871R,PEÇA,24175-1,"165,000","24,28","27,59","546,15",10,19/3/2025,"R$ 30,40","R$ 27,58",0.0,"1,65","7,6",nan,nan
1,483,FVU,8/4/2025,117680,FORNECEDOR,4508563155,10,732562803R,PEÇA,24017-1,"165,000","14,62","16,62","330,00",20,5/3/2025,"R$ 18,31","R$ 16,61",0.0,"1,65","7,6",nan,nan
1,483,FVU,8/4/2025,117680,FORNECEDOR,4508574610,10,732562803R,PEÇA,24083-1,"165,000","14,62","16,62","330,00",20,12/3/2025,"R$ 18,31","R$ 16,61",0.0,"1,65","7,6",nan,nan
2,483,FVU,8/4/2025,117680,FORNECEDOR,4508585565,20,732562803R,PEÇA,24175-1,"165,000","14,62","16,62","330,00",20,19/3/2025,"R$ 18,31","R$ 16,61",0.0,"1,65","7,6",nan,nan
2,483,FVU,8/4/2025,117680,FORNECEDOR,4508563155,20,732566668R,PEÇA,24017-1,"1.320,000","13,41","15,24","2.415,60",30,5/3/2025,"R$ 16,79","R$ 15,23",0.0,"1,65","7,6",nan,nan
2,483,FVU,8/4/2025,117680,FORNECEDOR,4508574610,20,732566668R,PEÇA,24083-1,"330,000","13,41","15,24","603,90",30,12/3/2025,"R$ 16,79","R$ 15,23",0.0,"1,65","7,6",nan,nan
3,483,FVU,8/4/2025,117680,FORNECEDOR,4508585565,30,732566668R,PEÇA,24175-1,"1.815,000","13,41","15,24","3.321,45",30,19/3/2025,"R$ 16,79","R$ 15,23",0.0,"1,65","7,6",nan,nan
4,483,FAS,2/4/2025,108060,FORNECEDOR,4508405168,40,620223601R,PEÇA,46885-3,"1,000","200,32","202,56","2,24",2000,24/3/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
5,483,FAS,2/4/2025,108060,FORNECEDOR,4508405168,50,620224709R,PEÇA,46885-3,"1,000","202,77","205,00","2,23",2020,24/3/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
3,483,SJP,8/5/2025,103415,FORNECEDOR,4508658120,30,668635019R,PEÇA,210069,"360,000","3,44","3,51","25,20",210,29/4/2025,"R$ 3,87","R$ 3,51",nan,"1,65","7,6",nan,5
